Sample,   PC1,   PC2,     A,SiO2 wt%
s SJV91-2K [7218], -7.85, -2.43,  1.19, 60.52
s 22TOH 96-1 [13590], -7.51, -1.06,  5.38, 60.83
s 511108 [17722], -6.72,  1.10,  1.22, 60.96
s 127241 [18347], -8.76, -1.19,  1.67, 60.98
s KH-126/1 [7341], -2.53,  1.35,  0.06, 61.63
s SC95-42 [7189], -5.75,  0.94,  3.62, 60.57
s 201856 [18347], -8.78, -0.46,  2.57, 61.56
s 98-YK-27 [8924],-11.56,  0.43,  0.90, 64.19
s 174498 [7306],-10.98,  1.81,  0.93, 64.60
s KH-35/96 [7342], -7.04, -1.01,  1.18, 60.76
s 100JSN 95-1 [13590], -5.55,  0.28,  2.36, 61.23
s 29235 [7162],-11.78,  2.22,  0.60, 65.23
s 96-12008 [7164], -7.80, -1.11,  1.48, 61.28
s K116 [10270], -6.84, -1.53,  0.61, 60.07
s 98-YK-38 [8924], -8.88,  1.12,  0.83, 61.45
s 98-19-6 [8685], -8.67,  1.03,  0.81, 61.77
s 510933 [16158],-10.45, -4.18,  0.22, 63.05
s 511140 [17722], -8.98,  1.24,  1.43, 61.82
s 128JSK 93-1 [13590], -7.09, -0.58,  4.26, 62.03
s 85-212 [5686],-10.74,  0.55,  2.73, 63.34
s V11-2 [7155], -7.01, -2.30,  1.17, 61.21
s HE95-29 [5582], -7.40, -0.13,  0.49, 60.82
s N-334/1 [7342], -1.68,  1.58,  0.03, 60.89
s K-30D/97 [7252], -9.21, -1.57,  1.01, 60.86
s K-30D/97 [7342], -9.21, -1.57,  1.01, 60.86
s 96-YK-5 [8924],-12.88,  1.29,  2.52, 64.71
s WC04-04, 102.07–102.23 [12863],-12.75,  1.67,  1.25, 65.11
s M52/4412/02/R400/64.80-67.00 [17129], -3.74,  1.30,  0.08, 62.61
s SC2008-04 [16512],-10.55,  1.26,  0.99, 64.41
s SC2008-02 [16512], -9.18,  0.38,  0.54, 64.41
s L19 [5202], -7.39,  0.75,  0.76, 60.79
s R-30 [12939], -8.09, -0.82,  0.72, 61.51
s 77-BG-05 [16555], -5.33,  3.17,  0.21, 62.88
s MU95-22 [5201], -4.75,  1.19,  2.88, 61.08
s BA-13 [13002],-11.07, -0.70,  2.48, 60.82
s L20 [5202], -6.90,  0.77,  0.66, 60.99
s K-10/01 [7252], -7.76, -0.60,  1.77, 61.31
s 511115 [17722], -6.42,  2.69,  1.56, 61.69
s HS125A [8684], -8.91,  0.21,  0.76, 61.55
s H-15 [13224], -4.87,  1.43,  0.44, 62.09
s 98-YK-28 [8924], -8.21,  1.29,  0.74, 62.67
s 4241 [5565],-12.15,  2.76,  0.75, 66.39
s 98-YK-30 [8924],-10.27,  1.38,  0.91, 64.06
s 95-07329 [7164], -8.12,  0.37,  1.55, 62.36
s KM106 [17715], -9.58,  0.87,  1.08, 62.08
s 03SJP038-1 [12863],-10.53, -0.53,  0.74, 62.68
s 511130 [17722], -8.98,  0.19,  1.11, 61.81
s 190520 [17170], -8.87, -0.20,  2.16, 61.77
s WC04-04, 104.75–104.94 [12863],-14.01,  2.52,  1.32, 66.50
s 465617C1 [12870], -7.07, -1.60,  0.22, 61.31
s 98H442 [8702],-10.28,  0.55,  1.07, 63.35
s 497117 [13997], -9.17, -0.29,  1.04, 61.29
s SC2008-06 [16512], -8.17,  0.79,  0.64, 64.25
s 465434 [7552], -4.80, -1.48,  0.25, 61.50
s 508224 [17722], -8.66,  1.66,  1.15, 62.20
s 96-26-15 [8685],-13.39,  2.14,  0.75, 64.42
s SC2007-32 [16512], -9.97,  0.25,  0.19, 63.25
s BA-31 [13002], -8.08,  0.75,  0.96, 61.63
s SC95-123 [5582], -9.46, -0.98,  0.38, 61.81
s R-42 [12939], -8.13,  1.12,  0.71, 61.80
s 98-YK-32 [8924],-10.78, -0.70,  2.40, 62.49
s 508227 [17722], -9.94, -1.16,  1.01, 63.15
s 139-BG-04 [16555],-11.64,  1.23,  0.88, 63.87
s SC95-4 [5575], -9.23, -0.47,  0.21, 61.67
s MW95-15 [5582], -8.56, -0.51,  0.73, 61.64
s P535/33 [5993], -9.83,  2.25,  2.12, 63.48
s DH96-5 [5672], -9.72, -1.76,  0.38, 61.74
s 96-11479 [7164],-10.07,  0.46,  1.83, 62.79
s PAN-86-4 [5993], -9.36,  0.35,  1.03, 62.12
s 511104 [17722], -9.42,  1.28,  1.77, 62.47
s 508226 [17722], -8.16,  1.91,  1.26, 62.35
s 511105 [17722], -9.40, -0.55,  1.77, 62.79
s 511106 [17722],-10.20,  1.15,  1.98, 62.42
s BH-9 [6627], -7.49,  2.64,  0.60, 65.11
s HE6-3 [5582],-10.74, -0.69,  1.08, 63.31
s SC2007-06B [16512], -7.44, -0.07,  0.09, 66.86
s H03A [16588], -8.35,  2.47,  2.61, 63.64
s HJO-86-23 [5993], -9.79,  3.15,  0.21, 63.45
s HJO-86-22 [5993], -8.74, -1.88,  0.49, 63.48
s S60 [13777],-10.71,  1.85,  0.64, 63.33
s WA88/85 [5820], -8.97,  2.21,  3.63, 65.73
s 462959 [5951], -8.31, -2.08,  0.18, 62.16
s S05 [13777], -9.44,  1.03,  0.75, 63.23
s 511111 [17722], -7.59,  2.62,  1.38, 62.75
s 87RPS-0065 [5823], -8.99, -0.82,  0.31, 62.31
s 127248 [18347],-10.24,  0.03,  2.79, 63.31
s SC95-26 [5582], -8.46,  1.39,  0.67, 62.34
s 511132 [17722], -9.76,  0.19,  0.55, 62.77
s SL87-12 [7218],-10.75, -0.04,  2.66, 62.38
s 87RPS-0088 [5823],-11.76, -0.73,  2.65, 62.52
s SC2008-07 [16512],-10.81,  2.08,  0.99, 64.99
s SIN 03 [11947],-11.34, -0.19,  1.13, 63.37
s SIG 125 [16345],-14.41,  2.55,  4.46, 63.13
s R-84 [12939],-11.42,  2.13,  0.83, 64.05
s 127247 [18347],-10.64,  0.55,  2.53, 63.68
s K157 [10270], -8.68,  1.01,  0.95, 62.10
s 71TOH 95-1 [13590], -8.02,  1.30,  1.80, 62.80
s SIG 133 [16345],-14.39,  2.23,  2.11, 63.18
s HB95-13 [5672],-11.34,  2.83,  1.83, 64.58
s CS89-2250 [7163],-13.41,  1.93,  0.69, 66.64
s KK14 [13427], -5.60,  2.51,  1.09, 63.22
s 98-CL-5 [8924],-11.24,  0.22,  1.74, 63.77
s SIG 56A [16345],-14.83,  1.39,  3.36, 63.59
s R-31 [12939],-11.88,  3.28,  1.02, 66.29
s 508223 [17722],-10.66,  0.30,  1.19, 63.24
s PAN-86-14 [5993],-13.65, -0.65,  3.16, 63.14
s K143 [10270], -8.76,  1.73,  2.28, 62.44
s WA88/317 [5820],-12.74,  3.46,  6.64, 64.73
s 6-BG-08 [16555], -8.59,  0.39,  0.16, 63.22
s 18VIE 64-3/404.79 [13590], -9.20,  1.43,  3.91, 64.94
s 915-6 [6349], -8.05,  0.52,  0.97, 62.53
s WR95-6 [5582], -9.71,  1.42,  1.60, 62.83
s SC2008-18 [16512], -8.04,  2.58,  0.32, 66.59
s SIN 06 [11947],-11.32,  3.81,  2.05, 65.17
s K92-94 [5571],-11.80,  1.03,  2.98, 63.41
s WA88/79 [5820],-11.20,  2.53,  4.99, 64.96
s GT-319 [6627],-10.05,  2.79,  0.32, 64.44
s 725-5 [6349], -7.73,  0.25,  0.63, 62.55
s 16TOH 96-1 [13590],-10.72,  0.45,  6.80, 63.60
s BA-4 [13002],-10.06, -0.52,  1.36, 63.04
s 462952 [7552], -7.67,  1.18,  0.26, 63.59
s 18TOH 95-1 [13590],-10.00,  2.08,  0.20, 63.78
s 6 [13673] / s 63-6-242.20 [13590],-14.28,  2.27,  2.89, 66.48
s SC2007-15A [16512],-10.55,  1.21,  0.04, 70.72
s 511107 [17722], -9.70,  2.37,  1.07, 63.44
s 93-24 [5686],-11.05,  2.00,  0.59, 63.85
s R-108 [12939],-10.81,  2.16,  1.18, 64.19
s 98-YK-23B [8924],-12.53,  3.25,  2.07, 65.29
s N-335 [7341], -4.55,  3.60,  0.06, 64.42
s SIG 56 [16345],-13.46,  2.27,  3.32, 63.63
s R-46 [12939],-12.58,  1.75,  0.60, 64.71
s KH-27-2/96 [7342], -9.04,  0.88,  1.10, 63.54
s G91-37 [5827], -7.82,  2.06,  1.88, 67.92
s 508220 [17722],-12.13,  1.08,  1.82, 63.63
s JP02-389 [18456], -8.81,  1.90,  0.48, 63.31
s 96084 [12698],-13.04,  3.58,  8.69, 65.41
s SIG 121 [16345],-12.73,  3.40,  6.04, 64.42
s 2002-25 [8521],-11.24,  1.28,  1.26, 64.63
s 96083 [12698],-13.20,  3.42,  8.64, 65.49
s 465619B1 [12870],-10.04, -0.27,  0.24, 63.49
s NDC87-01E [5204], -7.43,  4.08,  1.16, 63.46
s R-32 [12939],-15.36,  2.98,  1.30, 66.13
s BH-1 [6627],-11.16,  2.23,  0.53, 65.59
s 98-7-4 [8685],-14.67,  3.44,  1.11, 66.93
s KM062 [17715],-11.31,  2.02,  0.81, 66.05
s HE-1B [5672],-11.75,  2.64,  1.55, 64.46
s 2002-12 [8521],-11.07,  1.35,  1.04, 63.63
s H-41 [13224],-13.56,  0.57,  2.04, 64.80
s G80 [13550],-11.17, -0.12,  1.70, 63.70
s GM-18 [8924],-15.07,  4.87,  2.51, 68.71
s KH-39/96 [7342], -9.03,  1.47,  1.02, 63.94
s H-34 [13224],-12.53,  0.27,  2.10, 64.57
s 2002-13 [8521],-11.28,  1.20,  1.07, 63.80
s BY-1 [13000], -9.06,  0.60,  0.35, 64.28
s HB95-14 [5575],-11.35,  2.21,  1.90, 63.70
s 511142 [17722],-10.82,  2.89,  1.97, 64.44
s 2002-3 [8521],-11.12,  1.11,  0.66, 63.77
s KJP-87-14.1 [5993],-14.76,  2.72,  1.95, 65.63
s 96-11477 [7164],-11.96,  3.03,  2.16, 65.00
s K-30A/97 [7252],-11.24,  1.28,  1.05, 63.92
s K-30A/97 [7342],-11.24,  1.28,  1.04, 63.92
s K52 [10270],-11.46,  0.27,  0.96, 63.67
s H-35 [13224],-14.07,  1.42,  0.74, 67.05
s 329-15 [5792],-11.91,  1.06,  1.10, 64.68
s HB96-11 [5582],-11.95,  1.46,  1.09, 64.18
s R-106 [12939], -9.60, -2.16,  1.03, 64.24
s 511131 [17722],-12.65,  1.34,  1.51, 64.28
s MW95-7 [5582],-10.28,  0.66,  0.47, 64.10
s 2002-34 [8521],-11.19,  0.98,  0.74, 64.08
s 2002-62 [8521],-12.36,  2.22,  2.63, 65.63
s YK-17 [5571],-11.81,  3.80,  3.51, 67.08
s 96-12003 [7164],-10.45,  1.72,  1.32, 65.28
s SC95-130 [5582],-12.36,  1.07,  1.50, 64.07
s SB95-10 [7218],-11.60,  1.50,  2.07, 64.23
s SIG 128 [16345],-14.79,  3.47,  3.37, 64.77
s K-7/97 [7252],-11.58,  2.65,  1.42, 65.29
s G77 [13550],-10.91,  2.70,  1.84, 65.69
s R-61 [12939],-11.98,  3.83,  0.61, 66.29
s C10-135 [18756],-12.08,  2.80,  5.11, 65.43
s 161JSN 95-1 [13590], -8.25,  2.84,  2.96, 65.95
s MW96-6 [5575],-11.63,  0.03,  1.68, 64.24
s JP02-425 [18456],-12.95,  0.65,  1.62, 64.27
s SIG 124 [16345],-12.05,  4.41,  5.40, 65.55
s SB95-19 [7218],-10.10,  2.31,  2.10, 64.55
s P403/15 [5993],-11.55,  3.51,  1.48, 66.18
s 511136 [17722],-10.63,  3.64,  1.18, 64.95
s SIG 123 [16345],-11.84,  4.48,  3.99, 65.64
s 178142 [17170],-13.04,  2.49,  1.16, 64.62
s R-41 [12939],-13.73,  2.32,  0.73, 65.28
s WA95-19 [7189],-11.92,  1.44,  1.99, 64.63
s H-45 [13224],-14.11,  1.74,  2.13, 65.96
s K-36/97 [7252],-12.07,  1.84,  1.38, 64.69
s K-36/97 [7342],-12.07,  1.84,  1.38, 64.69
s 98-KYT-37 [5524],-13.06,  5.39,  1.87, 66.78
s R-88 [12939],-12.71,  3.47,  1.37, 66.24
s 93-52-14A [8685],-13.06,  3.38,  0.66, 66.68
s S127 [13777],-13.72,  1.35,  1.80, 65.70
s 98-14-1 [8685],-15.48,  4.19,  1.18, 67.95
s BA-19 [13002],-12.23,  1.87,  1.34, 64.82
s L26 [5202],-13.42,  2.83,  0.67, 64.80
s HJO-86-107 [5993],-12.60,  3.71,  1.62, 66.68
s HJO-86-105 [5993],-14.10,  1.74,  1.74, 65.64
s 96-12068 [7164],-14.62,  3.25,  2.82, 65.83
s 93-29 [5686],-13.07,  2.76,  0.80, 65.55
s K-38C/97 [7252],-12.93,  0.42,  0.80, 64.87
s K-38/97 [7342],-12.93,  0.42,  0.72, 64.87
s SB95-9 [7218],-12.07,  2.10,  1.63, 64.89
s H-42 [13224],-14.42,  1.18,  1.88, 65.90
s H-46 [13224],-13.24,  2.00,  1.65, 66.00
s GT-192 [6627],-12.37,  3.71,  0.27, 66.62
s WR957 [5575],-12.28,  3.22,  1.11, 64.96
s 96-12009 [7164],-12.39,  3.40,  1.89, 66.05
s 174497 [7306],-12.68,  3.80,  1.17, 66.21
s 730-4 [6349],-11.31,  1.09,  0.51, 64.83
s SIG 91 [16345],-11.93,  4.06,  2.18, 66.26
s H-40 [13224],-14.53,  1.43,  1.54, 66.53
s R-37 [12939],-14.09,  3.50,  1.15, 66.19
s PAN-86-2 [5993],-14.24,  2.69,  2.07, 66.39
s 14 [13673] / s 63-14-381.80 [13590],-13.49,  5.31,  2.63, 69.12
s G76 [13550],-11.35,  1.28,  2.05, 65.33
s SIG 77 [16345],-12.13,  4.68,  1.86, 66.26
s 96-11482 [7164],-14.19,  2.74,  1.70, 66.41
s G79 [13550],-12.78,  2.34,  2.65, 65.37
s H03B [16588],-11.61,  6.02,  1.93, 67.37
s BA-18 [13002],-12.83,  1.97,  2.16, 65.37
s 98-YK-19 [8924],-15.93,  3.89,  3.19, 69.22
s JP02-419 [18456],-11.36,  2.68,  0.38, 65.42
s HB95-12 [5582],-13.12,  2.73,  2.26, 65.57
s SIN 31 [11947],-14.32,  5.36,  2.64, 67.61
s 95-KYT-27 [5524],-15.39,  4.52,  1.37, 69.19
s G68 [13550],-11.59,  3.02,  1.60, 65.49
s 21TOH 95-1 [13590],-13.62,  2.13,  2.43, 65.87
s 16 [5549], -9.04,  3.44,  1.56, 65.72
s 52TTT 97-3 [13590], 28.04, -9.40,  5.23, 30.25
s 103TOH 95-1 [13590], 28.97, -7.90,  1.74, 29.63
s 15TTT 97-4 [13590], 25.86,  0.72,  2.90, 38.70
s 76TTT 96-2 [13590],  5.79,-12.68,  2.93, 46.88
s 132TOH 94-1 [13590],  2.27, -7.22,  4.08, 48.76
s 29JSK 94-2 [13590],  6.46, -5.24,  1.88, 51.59
s 98-YK-25 [8924],  3.63, -7.90,  0.34, 49.91
s SI052 [17715],  1.31,-10.47,  0.21, 50.28
s SI051 [17715],  0.79, -8.08,  0.13, 51.85
s 12 [7288],  8.84, -4.61,  0.76, 49.98
s 10HP 92-1 [13590],  2.41, -6.79,  0.62, 51.36
s 477382 [10271], -9.17, -4.13,  2.33, 57.12
s KM100 [17715], -2.62, -7.56,  0.43, 56.36
s WC04-04, 191.62–191.88 [12863],-12.48,  1.11,  1.07, 64.51
s N3188 [6131], -8.21,  1.27,  1.98, 60.24
s 477327 [10271], -8.94, -1.38,  0.87, 61.22
s 477374 [10271], -9.88,  4.62,  2.14, 65.21
s 96-YK-25A [8924],-13.33,  5.01,  3.19, 67.44
s 98-YK-15 [8924],-13.39,  2.32,  2.08, 64.84
s 96-YK-25B [8924],-13.75,  4.14,  3.22, 67.38
s WC04-04, 63.14–63.29 [12863],-12.62,  2.23,  0.89, 65.15
s WC04-03, 244.38–244.61 [12863],-13.79,  2.72,  1.24, 65.96
s PAN-87-31 [5993],-12.48,  1.85,  0.88, 64.06
s 468761 [16158],-12.00,  1.86,  0.97, 64.66
s 98-YK-21 [8924],-14.45,  4.84,  3.20, 67.89
s WC04-04, 192.17–192.30 [12863],-15.04,  4.36,  0.83, 68.34
s PAN-87-30 [5993],-15.64,  3.94,  0.68, 67.96
s 508255 [16158],-12.41,  2.17,  0.97, 65.68
s HJO-87-107 [5993],-14.70,  3.60,  2.39, 66.80
s W1 [6812], 23.29,-23.06,  3.20, 30.19
s OP-87-A31 [6812], 29.85,-10.36,  7.05, 31.73
s 145EJL 93-2 [13590], 28.36, -3.94,  0.00, 33.56
s 132TTT 96-2 [13590], 24.87,-11.33,  0.64, 34.91
s 193909 [17170], 32.18,  5.89,  0.14, 38.79
s 84TTT 96-2 [13590], 20.82,-10.44,  0.56, 38.71
s 288TOH 93-1 [13590], 34.02, 20.59,  0.09, 45.10
s PIC-24 [18733], 31.59,  4.05,  0.00, 39.64
s PIC-16 [18733], 30.75,  2.97,  0.81, 40.05
s 16TTT 96-3 [13590], 15.25,-18.79,  0.09, 37.53
s PIC-14 [18733], 30.74,  3.86,  0.00, 40.38
s 5SII 93-3/108.70 [13590], 15.86, -6.98,  8.15, 38.01
s PIC-131 [18733], 30.10,  3.48,  0.00, 40.65
s OP-87-A24 [6812], 20.76, -5.09,  2.35, 41.42
s PIC-110 [18733], 29.91,  4.33,  0.00, 41.05
s PIC-102 [18733], 29.48,  4.42,  0.12, 41.38
s 63TTT 96-1 [13590], 17.14,-15.74,  2.35, 37.75
s 25TTT 96-2 [13590],  8.53,-22.33,  3.48, 39.43
s 193942 [17170], 33.66, 12.98,  0.09, 42.34
s PIC-107 [18733], 29.16,  5.85,  0.00, 42.10
s PIC-13 [18733], 29.28,  3.88,  0.00, 41.53
s PIC-23 [18733], 28.98,  3.17,  0.09, 41.57
s PIC-118 [18733], 28.49,  2.61,  0.19, 41.10
s 193934 [17170], 31.36, 13.07,  0.07, 43.67
s 68 [8920], 33.47, 14.69,  0.04, 43.07
s DY-70 [12751], 30.57,  6.51,  0.00, 41.39
s 193936 [17170], 29.54, 10.09,  0.09, 43.39
s PIC-66 [18733], 26.91, -0.23,  0.25, 41.58
s DY-84 [12751], 30.10,  5.02,  0.03, 41.15
s DY-72 [12751], 30.16,  7.86,  0.00, 42.13
s 193941 [17170], 32.67, 13.39,  0.12, 42.56
s 96TB0043 [5196], 33.69, 18.44,  0.04, 44.11
s DY-77 [12751], 30.65,  7.11,  0.01, 41.73
s 161TTT 96-3 [13590],  9.68,-20.82,  4.29, 41.06
s 190929 [17170], 32.38, 13.48,  0.08, 43.38
s 63TTT 96-7 [13590], 13.79,-13.97,  0.63, 40.84
s DY-76 [12751], 26.66,  2.39,  0.02, 42.14
s DY-71 [12751], 29.71,  9.47,  0.03, 43.05
s DY-87 [12751], 27.11,  6.26,  0.01, 43.33
s PIC-119 [18733], 26.38,  2.69,  0.76, 43.06
s 200TOH 93-1 [13590], 30.02, 18.35,  0.07, 46.92
s PIC-208 [18733], 27.39,  5.18,  0.18, 43.52
s 190521 [17170], 30.81, 14.58,  0.03, 44.46
s DY-85 [12751], 27.23,  2.64,  0.00, 42.24
s 193935 [17170], 24.53,  6.67,  0.07, 44.75
s 63TTT 96-10 [13590], 10.02,-16.17,  0.62, 41.38
s MAC-B [7107], 11.18, -4.39,  2.08, 47.20
s K293 [5122],  2.34,-13.43,  0.16, 47.95
s K646 [5122],  4.13,-11.81,  0.33, 47.60
s 138TOH 93-1 [13590], 28.62, 13.30,  2.32, 45.61
s DY-67 [12751], 26.35,  5.43,  0.01, 43.90
s CB-4 [6812], 21.81,  6.36,  0.03, 46.91
s PIC-71 [18733], 12.93,-14.38,  1.37, 43.03
s DY-69 [12751], 24.68,  2.60,  0.58, 43.46
s 2002-88B [8521], 41.22, 22.35,  0.01, 40.62
s 28 [8920], 31.20, 18.33,  0.05, 46.39
s PIC-67 [18733], 13.25,-15.67,  0.29, 42.46
s 309JEV 95-2 [13590], 16.70, -4.82,  0.60, 44.70
s PIC-92 [18733], 26.43,  8.14,  1.05, 45.67
s 2002-91B [8521], 41.31, 23.01,  0.01, 40.98
s 268TOH 93-1 [13590], 28.08, 15.37,  0.09, 46.78
s V3 [7107],  4.70, -5.18,  4.49, 49.67
s PIC-90 [18733], 20.42, -2.62,  0.21, 43.74
s PIC-65 [18733], 11.89,-15.36,  0.68, 42.58
s PIC-105 [18733], 11.30,-16.61,  1.71, 42.40
s 2002-42C [8521], 40.98, 22.91,  0.03, 41.26
s PIC-51 [18733], 21.78, -1.84,  0.13, 43.92
s 2002-42 [8521], 41.16, 23.13,  0.03, 41.31
s 64TOH 96-1 [13590], 13.66,-13.04,  0.71, 43.36
s PIC-103 [18733], 12.71,-14.13,  0.75, 43.35
s PIC-209 [18733], 15.15,-15.14,  0.28, 41.92
s PIC-222 [18733], 20.08, -2.60,  0.11, 43.85
s G91-19 [5827],  9.64,-11.99,  1.04, 42.96
s PIC-50 [18733], 19.52, -3.78,  0.34, 44.10
s 478838 [13997], 29.22,  7.39,  0.02, 42.35
s 478837 [13997], 29.44,  7.53,  0.02, 42.35
s SH-6 [6812],  7.91, -4.13,  0.51, 49.97
s VC [7107],  6.42, -6.14,  6.59, 49.39
s K286 [5122],  1.30,-12.15,  0.17, 49.89
s 28TOH 94-1 [13590], 18.12,  0.86,  2.90, 46.25
s PIC-69 [18733], 12.22,-13.26,  1.49, 44.16
s 2002-91 [8521], 40.33, 23.75,  0.01, 42.11
s K635 [5122],  2.72, -8.67,  1.34, 50.17
s 2002-87 [8521], 37.92, 20.30,  0.02, 42.30
s 131TTT 97-1 [13590], 25.72,  8.21,  6.39, 45.68
s MC6-1 [16702], 20.10, -0.49,  0.32, 42.63
s 2002-90 [8521], 40.28, 23.76,  0.01, 42.23
s 37JSK 94-1/4.00 [13590], 21.78,  3.06,  4.65, 44.70
s SH-7 [6812],  5.43, -7.52,  0.93, 49.21
s CA12 [7107],  5.06, -8.09,  0.80, 49.83
s 183918 [17170], 22.88, 10.04,  0.16, 47.82
s DY-68 [12751], 22.53,  2.51,  0.00, 45.10
s K642 [5122],  1.48, -9.92,  0.38, 50.89
s 82TTT 96-1 [13590], 23.72,  6.55,  0.28, 45.98
s PIC-100 [18733], 11.11,-13.61,  0.41, 44.25
s PIC-201 [18733], 18.41, -3.12,  0.32, 44.82
s E-7/1 [5792], 26.39, 11.99,  0.02, 46.93
s K638 [5122],  0.99, -9.96,  0.30, 50.81
s PIC-223 [18733], 14.08, -8.40,  0.24, 45.09
s RE-9 [6812],  5.02, -4.15,  1.36, 51.32
s PIC-217 [18733], 15.47, -6.19,  0.40, 45.74
s PIC-101 [18733],  6.54,-16.51,  1.03, 44.61
s 164TTT 96-1 [13590], 17.00, -3.98,  0.48, 45.07
s PIC-210 [18733], 13.81, -6.63,  0.14, 45.32
s MC5-1 [16702], 37.24, 22.52,  0.00, 43.61
s B3 [7107],  6.90, -5.98,  2.03, 49.54
s G91-13 [5827],  8.38,-14.01,  0.36, 44.44
s PIC-99 [18733],  9.92,-14.20,  0.55, 44.15
s 63TOH 96-1 [13590],  8.25, -7.31,  4.70, 45.55
s H-11 [7107],  3.34, -7.48,  2.90, 49.04
s K280 [5122], -2.03,-10.07,  0.23, 51.65
s 4700-0324 [8678],  4.12,-12.90,  1.69, 46.27
s DY-78 [12751], 25.27,  4.28,  0.00, 44.41
s 4TOH 95-1 [13590], 10.16, -4.52,  1.76, 46.17
s PIC-213 [18733], 10.95,-12.09,  0.40, 45.09
s K637 [5122],  0.18, -9.68,  0.16, 50.78
s PIC-48 [18733],  7.19,-14.53,  1.36, 45.51
s PIC-214 [18733],  7.84,-14.96,  1.12, 45.04
s SH-5 [6812],  5.14, -5.42,  3.70, 50.03
s K645 [5122],  1.20, -9.71,  0.10, 51.08
s 108JTL 96-2 [13590], 19.90,  5.14,  1.17, 46.73
s WP103 [16702], 13.41, -9.16,  0.01, 44.18
s 193938 [17170],  5.54,-12.83,  0.09, 45.30
s PIC-47 [18733], 11.37,-11.73,  0.59, 45.59
s K641 [5122],  0.30, -9.11,  0.18, 52.20
s 118TTT 97-2 [13590], 12.76, -5.88,  4.11, 47.48
s 98-16-16 [8685], 12.24, -5.39,  0.25, 47.35
s 98-YK-37 [8924],  7.20,-13.85,  0.38, 45.58
s 91-38-4A [8685],  8.43, -2.91,  0.14, 48.58
s 478821 [13997], 24.12,  4.35,  0.06, 45.41
s K636 [5122], -1.33, -9.42,  0.16, 51.70
s PIC-127 [18733], 13.49, -4.96,  0.18, 47.88
s 146TTT 97-1 [13590],  6.42,-13.16,  0.57, 45.52
s 65TTT 97-2 [13590], 10.83, -9.76,  4.19, 46.40
s BD21 [16702], 33.63, 19.59,  0.02, 45.28
s H-11-A [7107],  2.14, -6.77,  2.34, 50.59
s PIC-20 [18733], 13.92, -4.26,  0.66, 48.07
s PIC-49 [18733],  9.90,-12.02,  0.64, 45.94
s PIC-111 [18733],  6.81,-13.55,  0.75, 45.90
s K639 [5122], -1.01, -8.52,  0.20, 52.53
s 193904 [17170],  8.92, -8.50,  1.92, 46.65
s 267JEV 95-2 [13590], 12.91, -2.00,  4.08, 47.81
s PIC-225 [18733],  8.67,-12.43,  1.08, 46.23
s 478847 [13997],  3.20,-12.54,  0.08, 45.14
s A3B [7107],  9.67, -2.37,  1.37, 48.90
s 510711 [17073], 12.34, -3.12,  0.03, 47.55
s PIC-21 [18733], 13.44, -5.03,  0.02, 48.04
s PIC-219 [18733],  9.76,-10.93,  0.97, 47.23
s PIC-22 [18733], 13.34, -4.94,  0.71, 48.06
s K298 [5122], -1.92, -9.76,  0.18, 52.44
s PIC-128 [18733], 12.58, -6.18,  0.84, 47.72
s 478835 [13997], 17.16, -0.07,  0.12, 45.73
s GC120697 [7097],  6.86, -5.66,  0.16, 50.52
s K300 [5122], -2.53, -9.79,  0.20, 52.69
s K640 [5122], -1.45, -8.18,  0.25, 52.83
s PIC-44 [18733],  9.84, -7.50,  0.23, 48.41
s PIC-70 [18733], 11.46, -7.10,  0.23, 48.26
s 35VIE 66-2/35.10 [13590], 19.37,  3.09,  1.82, 47.04
s 35VIE 66-2/41.26 [13590], 17.49,  1.94,  5.31, 47.69
s BD19 [16702], 32.44, 18.80,  0.02, 45.83
s 478823 [13997],  4.98,-10.30,  0.03, 45.51
s 190917 [17170],  2.56,-15.06,  0.12, 46.11
s PIC-218 [18733],  6.66, -9.46,  0.50, 47.92
s 277TOH 93-1 [13590],  5.47,-11.27,  9.31, 47.80
s 40TOH 94-1 [13590], 15.26,  0.75,  4.65, 48.93
s 478820 [13997], 23.65,  4.19,  0.03, 46.04
s DY-61 [12751], 20.07,  5.54,  0.00, 48.10
s K302 [5122], -1.98, -8.63,  0.19, 52.72
s 20TTT 96-1 [13590], 20.34,  4.04,  6.98, 46.24
s DOT-1B [6805],  7.22, -7.40,  2.22, 49.11
s PIC-116 [18733], 12.16, -5.07,  0.03, 49.01
s PIC-115 [18733], 12.53, -7.20,  0.23, 47.44
s 193908 [17170],  6.31, -8.15,  0.02, 46.59
s 93-19 [5686], 12.77, -2.24,  0.07, 48.11
s 478854 [13997], -3.90,-17.30,  0.03, 45.77
s PIC-104 [18733],  3.81,-14.39,  2.35, 46.94
s 468781 [16158],  6.60, -9.92,  0.13, 46.93
s 96-YK-4 [8924],  7.47, -9.39,  0.31, 48.43
s K307 [5122], -3.33, -9.23,  0.21, 53.58
s 15JSN 95-1 [13590], 14.60,  1.20,  4.07, 48.50
s 43MKT 94-1 [13590], 16.93,  5.04,  2.32, 49.32
s 478834 [13997], 19.65,  4.14,  0.07, 46.37
s 193901 [17170],  5.23,-10.10,  0.62, 47.48
s PIC-227 [18733], 13.06, -2.93,  0.03, 49.21
s 36KYK 94-2 [13590],  7.00,-11.68,  9.88, 49.87
s 478853 [13997], -4.36,-17.45,  0.03, 45.91
s 101JSK 93-2/12.20 [13590],  4.61,-11.32,  1.81, 49.34
