NoEch.orig,DataSource,Age (Ga),Age,Most_likely,SiO2,TiO2,Al2O3,FeOt,MgO,MnO,CaO,Na2O,K2O,P2O5,LOI,A/NK,A/CNK,K2O/Na2O,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,Hf,Ta,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,La/Lu N,La,Lu,,Proba,Class.auto.2,Proba.2
,Compiled by Martin and Moyen (2002),2.899,2899,Sodic MP,72.36,0.25,14.75,2.5231053,0.54,0.04,2.35,4.7,1.5,,,1.5765932,1.0822954,0.31914894,,,,,,,,,,42.5,364,4.3,135,,,,,,,,,,10.08,23.577,,6.567,1.632,0.6498,1.2432,,0.715,,0.4473,,0.4576,0.06137,,,,,0,class1,1
,Compiled by Martin and Moyen (2002),2.899,2899,Sodic MP,70.39,0.3,15.87,2.7960486,1.02,0.05,2.36,5.25,0.89,,,1.6531031,1.1424551,0.16952381,,,,,,,,,,30.5,365,4.9,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,class0,1
,Compiled by Martin and Moyen (2002),2.899,2899,Sodic MP,69.91,0.29,15.18,2.4470747,0.89,0.01,2.57,4.77,1.02,,,1.6958622,1.1142073,0.21383648,,,,,,,,,,22,355,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,class0,1
,Compiled by Martin and Moyen (2002),2.899,2899,Sodic MP,71.85,0.31,15.42,2.3132313,0.81,0.03,2.85,5.28,1,,,1.5785354,1.0314045,0.18939394,,,,,,,,,,,420,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.957,2957,Sodic MP,67.12,0.34,16.35,3.2313231,0.97,0.03,3.33,4.58,2.33,0.13,,1.6257926,1.0148145,0.50873362,,3.2,28.6,9.77,7.01,8.44,8.68,56.2,,63,432,4.57,147,6.09,,1.58,1142,3.97,0.4,,15.5,0.71,48.80797,92.1141,9.080341,29.236007,3.999304,1.049884,2.7388845,0.2670412,1.1383524,0.1888779,0.4959882,0.06096914,0.3566972,0.06497859,,,,,1,class3,1
,Compiled by Martin and Moyen (2002),2.957,2957,Sodic MP,68.9,0.34,15.53,3.2313231,0.91,0.03,3.77,4.5,1.29,0.17,,1.7649165,0.9920795,0.28666667,,5.3,18.1,1.52,3.73,3.03,0.52,58.1,,84.6,317,7.9,218,6.2,,1.9,269,5.5,0.76,,11.2,1.57,44.54721,76.70328,7.220326,23.659799,3.089181,0.7795824,2.2487038,0.2820225,1.3695802,0.2750925,0.7265647,0.11194753,0.733211,0.12386544,,,,,1,class3,1
,Compiled by Martin and Moyen (2002),2.841,2841,Sodic MP,63.01,0.54,15.23,4.6362556,3.38,0.08,5.2,4.3,1.3,0.34,,1.79576,0.8491372,0.30232558,,,,,,,,,,20,755,,,,,,,,,,,,33.7,74.85,,30.22,4.83,1.28,3.2,,1.72,,0.76,,0.59,0.1,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.841,2841,Sodic MP,68.5,0.49,15.48,3.1970297,1.37,0.06,3.5,3.95,1.35,0.21,,1.9448635,1.0807632,0.34177215,,,,,,,,,,36,469,,,,,,,,,,,,25.81,50.41,,16.62,2.45,0.77,1.78,,0.96,,0.42,,0.34,0.1,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.841,2841,Sodic MP,67.4,0.04,15.81,3.4691269,1.87,0.06,4.1,4.6,1.1,0.24,,1.8051802,0.9751526,0.23913043,,,,,,,,,,19,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.841,2841,Sodic MP,63.94,0.52,15.19,4.2341584,2.95,0.06,5.2,4.4,1.2,0.42,,1.7792398,0.8442585,0.27272727,,,,,,,,,,17,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.58,2580,Sodic MP,61.9,0.7,17.23,3.9951035,1.91,0.09,3.59,4.94,1.62,0.48,,1.7438685,1.0501131,0.32793522,,,,,11,15,16,45,,20,700,,,6,,,825,,2,,,,29.31,62.8,8.6,32.21,6.18,1.66,4.25,0.56,2.99,0.55,1.44,0.22,1.19,0.18,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.58,2580,Sodic MP,62.3,0.57,16.01,4.4031863,2.67,0.11,4.64,4.48,1.97,0.36,,1.6848298,0.8924688,0.43973214,,,,,12,1.7,11,66,,96,510,,,8,,,535,,2,,,,27.08,52.96,5.82,22.74,3.84,1.19,3.88,0.33,1.88,0.34,0.68,0.02,0.57,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.695,2695,Sodic MP,68.2,0.42,16.1,2.840144,0.83,0.05,3.4,5.4,1.3,0.3,,1.5645204,0.9773773,0.24074074,,,,15,,5,25,35,,105,389,20,579,,,,1550,,,,,,,,,,,,,,,,,,,,,,,,0.999,class0,0.998
,Compiled by Martin and Moyen (2002),2.695,2695,Sodic MP,74.4,0.08,14.2,0.8710531,0.18,0.05,3,5.1,0.73,0.05,,1.546812,0.9702871,0.14313725,,,,,,,,,,31,312,10,82,,,,,,,,,,14.12,33.35,,16.24,3.22,0.74,2.31,,1.98,0.4,1.03,,0.79,0.11,,,,,0.996,class13,1
,Compiled by Martin and Moyen (2002),2.695,2695,Sodic MP,67.2,0.42,17,2.6910891,0.73,0.01,3.6,5.4,2,0.12,,1.5386837,0.9662379,0.37037037,,,,30,,,5,50,,30,482,10,198,,,,2000,,,,,,24.4,32.3,,14,2.03,0.77,1.43,,0.94,0.14,0.36,,0.4,0.07,,,,,0.999,class12,1
,Compiled by Martin and Moyen (2002),2.695,2695,Sodic MP,67.7,0.42,16.1,4.10018,0.99,0.01,3.4,5.1,1.2,0.16,,1.6616918,1.0144363,0.23529412,,,,50,,20,5,60,,,403,21,336,,,,400,,,,,,,,,,,,,,,,,,,,,,,,0.997,class0,0.998
,Compiled by Martin and Moyen (2002),2.695,2695,Sodic MP,69.6,0.33,15.1,3.140144,0.99,0.14,3.4,5.1,1.4,0.12,,1.5244196,0.9386244,0.2745098,,,,20,,5,5,60,,,405,17,343,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,0.994,class0,0.999
,Compiled by Martin and Moyen (2002),2.695,2695,Sodic MP,63.9,0.94,16.1,5.180108,1.8,0.06,4.3,4.3,1.9,0.43,,1.7633101,0.9499131,0.44186047,,,,75,,50,15,105,,,712,29,647,,,,3600,,,,,,,,,,,,,,,,,,,,,,,,1,class5,1
,Compiled by Martin and Moyen (2002),2.8,2800,Sodic MP,64.5,0.44,17.28,3.05,1.68,0.04,4.41,5,1.54,0.18,,1.7467881,0.9647805,0.308,,,,40,17,26,,52,,51,737,4,139,3,,,859,,,,,0.54,,,,,,,,,,,,,,,,,,,0.999,class5,0.997
,Compiled by Martin and Moyen (2002),2.8,2800,Sodic MP,67.65,0.42,16.42,2.79,1.2,0.04,3.87,5.3,1.24,0.17,,1.632006,0.9603594,0.23396226,,,,30,20,6,,36,,35,604,1,124,5,,,440,,,,,0.58,,,,,,,,,,,,,,,,,,,0.954,class0,0.999
,Compiled by Martin and Moyen (2002),2.8,2800,Sodic MP,69.49,0.35,15.32,2.68,1.1,0.04,3.22,4.8,2.18,0.15,,1.4937324,0.9509108,0.45416667,,,,30,11,7,,44,,42,460,5,108,2,,,1340,,,,,0.29,,,,,,,,,,,,,,,,,,,0.996,class0,0.999
,Compiled by Martin and Moyen (2002),3.69,3690,Sodic MP,65.32,0.45,17.11,2.95,1.35,0.04,4.09,5.2,1.5,0.16,,1.6810498,0.9713478,0.28846154,,,,40,1.9,8,,40,,66,421,5,84,5,,,245,,,,8.2,0.47,,,,,,,,,,,,,,,,,,,0.999,class11,0.985
,Compiled by Martin and Moyen (2002),3.69,3690,Sodic MP,70.24,0.26,14.93,2.35,0.83,0.07,2.73,5.3,1.42,0.09,,1.4557222,0.9809571,0.26792453,,,,40,22,6,,45,,80,236,3,,9,,,85,,,,6.9,0.43,,,,,,,,,,,,,,,,,,,0.993,class0,0.915
,Compiled by Martin and Moyen (2002),3.73,3730,Sodic MP,65.6,0.52,16,4.5430783,2.38,0.07,4.32,4.47,1.68,0.12,,1.7444237,0.9396944,0.37583893,,,91,57,,22,42,85,,106,510,20,162,2,,,238,,,,,,25.2,55.2,5.84,28.5,5.01,1.25,2.96,,4.41,,,,,,,,,,1,class7,0.999
,Compiled by Martin and Moyen (2002),3.73,3730,Sodic MP,65.8,0.62,16.3,3.6360486,1.45,0.03,3.32,4.82,2.18,0.24,,1.5842024,0.9984323,0.45228216,,,57,21,,9,20,74,,144,263,3,303,10,,,1084,,,,,,56,90,,,,,,,,,,,,,,,,,0.674,class10,0.584
,Compiled by Martin and Moyen (2002),3.73,3730,Sodic MP,67.6,0.45,15.9,3.4210441,1.39,0.07,3.28,4.45,2.31,0.2,,1.6189597,1.007292,0.51910112,,,47,43,,4,23,141,,120,423,9,135,9,,,372,,,,,,32,61,,,,,,,,,,,,,,,,,1,class10,0.993
,Compiled by Martin and Moyen (2002),3.73,3730,Sodic MP,68.6,0.35,15.7,2.4960306,1.36,0.06,2.78,5.04,2.17,0.2,,1.4755381,1.0003282,0.43055556,,,30,37,,9,29,129,,117,630,12,170,16,,,298,,,,,,51,82,,,,,,,,,,,,,,,,,0.999,class10,0.999
,Compiled by Martin and Moyen (2002),3.73,3730,Sodic MP,69.4,0.34,15.8,2.1250315,0.83,0.05,2.77,5.2,2.18,0.16,,1.4476519,0.9905517,0.41923077,,,20,14,,,12,147,,126,524,9,167,13,,,222,,,,,,21,40,,,,,,,,,,,,,,,,,1,class6,0.978
,Compiled by Martin and Moyen (2002),3.73,3730,Sodic MP,70.4,0.38,16.1,2.1610441,0.89,0.04,2.66,5.08,1.28,0.14,,1.6525339,1.1043213,0.2519685,,,29,12,,,18,70,,102,391,12,157,6,,,39,,,,,,29.8,51.9,4.1,19.5,3.44,1.23,2.45,,1.15,,,,,,,,,,1,class3,0.999
,Compiled by Martin and Moyen (2002),3.73,3730,Sodic MP,70.7,0.22,15.6,1.8760666,0.87,0.02,2.8,4.56,2.04,0.13,,1.6066205,1.0539935,0.44736842,,,18,15,,,63,46,,117,356,9,123,2,,,619,,,,,,23,44,,,,,,,,,,,,,,,,,0.998,class6,1
,Compiled by Martin and Moyen (2002),3.73,3730,Sodic MP,71.8,0.33,15.3,2.170027,0.94,0.03,2.91,5.1,1.62,0.11,,1.5083481,0.9912807,0.31764706,,,32,18,,5,19,65,,92,373,9,126,6,,,163,,,,,,,,,,,,,,,,,,,,,,,,0.999,class6,0.659
,Compiled by Martin and Moyen (2002),3.235,3235,Sodic MP,64,0.34,15.8,4.7841404,2.97,0.07,4.58,4.48,1.71,0.25,,1.7134786,0.9003632,0.38169643,,,71,88,,47,20,61,,45,600,10,103,5,,,368,,,,,,30,31,,,,,,,,,,,,,,,,,0.95,class5,1
,Compiled by Martin and Moyen (2002),3.235,3235,Sodic MP,64.6,0.5,16.4,4.3840864,2.51,0.06,4.6,4.76,1.48,0.21,,1.7386377,0.9215293,0.31092437,,,80,44,,27,9,65,,30,473,11,99,6,,,320,,,,,,33,47,,,,,,,,,,,,,,,,,1,class5,0.999
,Compiled by Martin and Moyen (2002),3.235,3235,Sodic MP,69.2,0.32,15.7,2.0690279,1.08,0.04,2.86,5.03,2.15,0.2,,1.4808406,0.9935321,0.42743539,,,43,21,,9,457,55,,68,631,10,115,6,,,54,,,,,,6,54,,,,,,,,,,,,,,,,,0.993,class6,0.932
,Compiled by Martin and Moyen (2002),2.9,2900,Sodic MP,73.1,0.21,15.1,1.9051125,0.8,0.02,3.54,4.9,0.48,,,1.7597957,1.0055234,0.09795918,,,,8,,6,,,,4,260,,189,,,,244,,,,21,,63.8,83.9,,22.6,2.4,0.72,1.4835702,0.19,,,,,0.13,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.9,2900,Sodic MP,73.3,0.09,15.4,1.4041404,0.4,0.05,3.28,4.7,1.14,,,1.7176121,1.0315002,0.24255319,,,,19,,8,,,,28,277,4,103,,,,269,,,,6,,11,22,,,,,,,,,,,,,,,,,0,class2,1
,Compiled by Martin and Moyen (2002),3.6,3600,Sodic MP,65.6,0.54,15.51,4.5634563,2.1,0.08,4.74,4.72,1.42,0.21,,1.6673973,0.8654987,0.30084746,,,,,,28,9,83,,29,415,13,101,5,,,198,,,,,,,,,,,,,,,,,,,,,,,,0.999,class5,0.999
,Compiled by Martin and Moyen (2002),3.6,3600,Sodic MP,69.72,0.51,15.65,2.610261,0.94,0.02,4.02,4.81,1.23,0.17,,1.6929321,0.945415,0.25571726,,,,,,7,4,49,,39,340,2,127,4,,,553,,,,,,,,,,,,,,,,,,,,,,,,0.806,class0,0.999
,Compiled by Martin and Moyen (2002),3.6,3600,Sodic MP,76,0.41,11.92,2.6372637,0.57,0.05,3.78,3.52,0.76,0.05,,1.8024028,0.8838611,0.21590909,,,,,,3,6,30,,5.1,265,13,297,5,,,192,,,,,,,,,,,,,,,,,,,,,,,,1,class2,0.998
,Compiled by Martin and Moyen (2002),2.9,2900,Sodic MP,69.35,0.31,15.6,2.68,1.35,0.03,3.12,5.24,1.09,0.13,,1.5918099,1.0082063,0.20801527,,,40,26,,23,,,,1.4,559,3,76,,,,453,,,,,,,,,,,,,,,,,,,,,,,,0.999,class0,0.999
,Compiled by Martin and Moyen (2002),2.9,2900,Sodic MP,70.18,0.28,15.22,2.27,1.28,0.02,2.76,4.64,1.91,0.1,,1.568957,1.0340369,0.41163793,,,31,15,,16,,,,48,404,3,111,,,,750,,,,,,30.68,59.35,,22.81,3.29,0.85,2.48,,0.93,,0.49,,0.3,0.07,,,,,0.977,class3,0.995
,Compiled by Martin and Moyen (2002),2.709,2709,Sodic MP,71.26,0.34,15.47,2.3492349,0.7,0.09,2.63,4.99,1.88,0.03,,1.510149,1.0295521,0.37675351,,,,,,,,,,70,513,,141,11,,,530,,,,,,14,15,,10,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.709,2709,Sodic MP,71.07,0.35,15.34,2.5922592,0.81,0.09,2.52,5.32,1.59,0.04,,1.4647195,1.018936,0.29887218,,,,,,,,,,4.8,564,,157,11,,,373,,,,,,21,20,,11,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.526,2526,Sodic MP,69.2,0.46,15.6,3.4861026,1.07,0.05,4.18,4.67,0.66,0.1,,1.8578042,0.9751715,0.14132762,,9,43,18,,11,9,50,,4,308,7,128,5,,,330,,,,2,,25,45,,19,,,,,,,,,,,,,,,0.984,class11,0.991
,Compiled by Martin and Moyen (2002),2.501,2501,Sodic MP,63.8,0.97,16.3,5.8941674,1.63,0.06,5.32,4.1,0.7,0.3,,2.1725793,0.9490232,0.17073171,,10,65,139,,43,14,66,,2,491,18,460,12,,,644,,,,1,1,50,81,,29,,,,,,,,,,,,,,,1,class5,1
,Compiled by Martin and Moyen (2002),3.4,3400,Sodic MP,74.38,0.07,14.92,1.3321332,0.24,0.04,0.75,5.52,1.86,,,1.3448379,1.1976296,0.33695652,,,,,,,,,,88,253,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3.4,3400,Sodic MP,74.34,0.09,14.91,1.3951395,0.26,0.04,0.77,5.85,1.94,,,1.2717772,1.1361053,0.33162393,,0.71,,3,,,,,,44,288,,,,,0.48,450,1.94,,,2.96,1.53,6,9.74,,5.2,1.22,0.38,1.2657116,0.21,,,,,1.2,0.19,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3.4,3400,Sodic MP,70.03,0.24,15.79,2.5022502,1.04,0.05,2.39,5.09,1.22,,,1.6288227,1.12467,0.23968566,,1.43,,10,,,,,,75,436,,,,,1.66,160,3.42,,,4.57,3.14,14.3,23.8,,10.6,2.13,0.57,2.1424328,0.35,,,,,0.93,0.13,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.65,2650,Sodic MP,73.2,0.12,14.86,1.6741674,0.43,0.04,1.19,5.31,2.02,,,1.3605573,1.1355923,0.38041431,,,,,,,,,,61,299,,,,,,455,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3.622,3622,Sodic MP,71,0.29,15.3,2.0972097,0.8,0.04,2.9,4.9,1.5,,,1.5798221,1.0228993,0.30612245,,,,,,,,,,101,392,,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.716,2716,Sodic MP,67.2,0.36,15.9,3.4081188,1.46,0.05,4.37,3.78,1.15,0.12,,2.1304328,1.0318704,0.3042328,,5,,,,6,,,,29,241,6.5,154,,,,,,,,,,21,38,4.3,14,2.5,0.72,2,0.25,1.4,0.25,0.62,0.07,0.51,0.07,,,,,0.675,class12,0.925
,Compiled by Martin and Moyen (2002),2.95,2950,Sodic MP,70.05,0.32,14.89,2.520252,1.62,0.01,3.22,5.35,1.7,0.23,,1.3992498,0.9026377,0.31775701,,,,,,,,,,47,432,,,,,,,,,,,,28,39,,20,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.95,2950,Sodic MP,73.44,0.18,14.71,1.4491449,0.67,0.02,0.91,6.35,1.64,,,1.2036101,1.0600923,0.25826772,,,,,,,,,,36,266,,,,,,241,,,,,,34,43,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.95,2950,Sodic MP,70.21,0.52,12.92,3.9243924,0.97,0.07,1.34,5.25,2.06,,,1.1889658,0.971209,0.39238095,,,,,,,,,,41,386,,,,,,770,,,,,,86,108,,42,5.3,1.46,2.3812747,0.26,,,,,0.46,0.06,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.65,2650,Sodic MP,66.49,0.61,15.71,4.1494149,2.06,0.06,3.08,4.34,2.05,0.21,,1.6786473,1.050214,0.47235023,,11,,,,28,,,,104,638,10,142,6,,,1734,,,,,,,,,37,,,,,,,,,,,,,,,0.999,class5,0.999
,Compiled by Martin and Moyen (2002),2.65,2650,Sodic MP,69.97,0.39,15.6,2.4752475,0.71,0.03,2.84,4.98,1.33,0.12,,1.6195632,1.0543402,0.26706827,,5,38,5,,1,,,,84,510,5,180,2,,,561,,,,,,,62,,25,,,,,,,,,,,,,,,1,class6,0.999
,Compiled by Martin and Moyen (2002),2.65,2650,Sodic MP,69.51,0.47,15.72,3.0063006,0.9,0.06,2.88,5.2,1.36,0.15,,1.5678262,1.0299345,0.26153846,,6,,5,,6,,,,100,377,9,206,13,,,369,,,,,,50.72,83.7,,25.52,3.44,0.754,2.32,,1.35,,0.84,,0.65,,,,,,1,class3,1
,Compiled by Martin and Moyen (2002),2.54,2540,Sodic MP,70.33,0.34,15,2.3222322,1.03,0.08,3,4.88,1.53,,,1.5489137,0.9908264,0.31352459,,,,,,,,,,6.7,347,,140,,,,,,,,5,0.2,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.6,2600,Sodic MP,66.5,0.47,14.7,3.4383438,1.39,0.04,4.03,3.86,2.26,,,1.6711395,0.9116937,0.58549223,,,,,,,,,,50,570,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,67.53,0.45,15.87,2.6282628,0.85,0.04,2.88,3.99,1.3,,,1.99094,1.2015814,0.32581454,,,36,5,,9,,44,,36,560,5,24,,,,410,,,,,,,,,,,,,,,,,,,,,,,,0,class0,1
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,65.5,0.24,17.52,1.080108,0.48,0.03,3.12,6.42,0.96,,,1.5102589,1.0142693,0.14953271,,,50,3,,6,,48,,21,680,3,75,,,,595,,,,,,,,,,,,,,,,,,,,,,,,0,class0,1
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,69.42,0.33,15.25,1.9441944,0.51,0.03,2.9,4.44,1.15,,,1.783827,1.1033227,0.25900901,,,58,,,12,,36,,44,620,7,64,,,,505,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.999
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,63.36,0.39,17.87,1.6291629,0.94,0.06,3.89,5.96,1.46,,,1.5695901,0.9681423,0.24496644,,,23,11,,23,,104,,46,770,5,32,,,,515,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.998
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,65.62,0.3,17.5,1.1161116,0.54,0.03,3.23,6.25,1.09,,,1.5268226,1.009543,0.1744,,,36,5,,5,,90,,48,540,5,48,,,,485,,,,,,,,,,,,,,,,,,,,,,,,0,class0,1
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,66.83,0.57,16.03,2.2682268,0.83,0.04,3.07,4.22,1.41,,,1.8928861,1.1408848,0.33412322,,,40,9,,10,,75,,34,580,6,150,,,,425,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.999
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,67.32,0.51,15.42,2.7722772,0.93,0.06,2.79,3.36,1.52,,,2.1497771,1.2592194,0.45238095,,,54,,,12,,50,,55,390,9,116,,,,385,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.999
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,67.5,0.68,14.52,4.4914491,1.33,0.03,2.27,2.64,1.87,,,2.2804289,1.3835697,0.70833333,,,91,29,,46,,95,,63,350,12,124,,,,260,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.964
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,70.56,0.53,12.92,4.050405,1.22,0.22,2.01,2.07,1.52,,,2.5580799,1.4841544,0.73429952,,,78,23,,25,,88,,43,360,8,88,,,,285,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.917
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,68.19,0.49,15.33,2.3222322,0.77,0.03,2.9,3.89,1.42,,,1.9315837,1.1605422,0.36503856,,,66,9,,17,,62,,51,500,8,104,,,,535,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.999
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,69.69,0.47,14.87,1.9621962,0.6,0.08,2.73,3.72,1.35,,,1.9614683,1.185351,0.36290323,,,45,7,,8,,71,,41,420,6,68,,,,280,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.999
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,69.42,0.4,14.79,2.2232223,0.72,0.03,2.92,4.01,1.22,,,1.8680339,1.1181987,0.3042394,,,50,10,,15,,32,,27,465,4,110,,,,310,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.999
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,65.52,0.45,17.18,2.340234,0.82,0.06,3.26,4.47,1.45,,,1.9253352,1.1568609,0.32438479,,,41,8,,6,,45,,38,425,5,78,,,,345,,,,,,,,,,,,,,,,,,,,,,,,0,class0,1
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,66.4,0.49,17.09,2.0432043,0.65,0.03,3.07,4.59,1.44,,,1.8760205,1.1632453,0.31372549,,,36,7,,16,,112,,44,445,5,36,,,,330,,,,,,,,,,,,,,,,,,,,,,,,0,class0,1
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,64.8,0.49,17.24,2.430243,0.98,0.06,3.19,4.27,1.72,,,1.9400514,1.1738674,0.4028103,,,62,15,,23,,48,,40,465,10,165,,,,380,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.998
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,68.44,0.49,15.39,2.2412241,0.8,0.03,2.88,3.76,1.53,,,1.9625848,1.1767688,0.40691489,,,59,22,,50,,72,,63,435,7,48,,,,290,,,,,,,,,,,,,,,,,,,,,,,,0,class0,1
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,66.77,0.3,13.79,5.8325833,0.95,0.03,2.21,3.5,1.24,,,1.9422356,1.240293,0.35428571,,,74,14,,12,,28,,65,710,27,144,,,,940,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.999
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,69.49,0.28,12.37,5.139514,0.38,0.02,1.52,4.86,0.98,,,1.3659513,1.0465614,0.20164609,,,56,9,,11,,64,,52,380,20,142,,,,615,,,,,,,,,,,,,,,,,,,,,,,,0,class2,0.958
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,67.65,0.32,14.49,5.5445545,1.04,0.03,2.29,3.09,0.99,,,2.3541969,1.4042469,0.32038835,,,98,21,,13,,85,,64,650,28,216,,,,710,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.999
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,68.71,0.29,13.9,2.7632763,0.85,0.03,1.52,5.43,1.53,,,1.3126819,1.0409872,0.28176796,,,22,1.9,,15,,36,,86,560,13,152,,,,920,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.999
,Compiled by Martin and Moyen (2002),3,3000,Sodic MP,68.5,0.63,14.58,2.1152115,1.18,0.03,1.18,5.79,1.59,,,1.2964391,1.0887345,0.2746114,,,18,20,,11,,50,,82,410,10,184,,,,660,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.999
,Compiled by Martin and Moyen (2002),3.8,3800,Sodic MP,67.65,0.47,16.39,3.27,1.51,0.05,3.87,5.22,0.96,0.13,,1.7025838,0.9836121,0.18390805,,,,35,,12,,,,41,517,8,125,4,,3.6,380,,,,6.04,3.8,27.2,57.6,,17.16,4.08,1.13,2.7810135,0.374,,,,,0.869,0.153,,,,,1,class3,0.894
,Compiled by Martin and Moyen (2002),3.75,3750,Sodic MP,69.27,0.42,15.91,2.9520522,0.92,0.04,2.92,5.06,1.66,0.14,,1.5719726,1.0310911,0.32806324,,,,15,,4,,,,73,416,5,168,,,,313,,,,8,,24.1,44.1,,,3.19,0.726,,,,,,,0.202,0.031,,,,,0.713,class12,0.997
,Compiled by Martin and Moyen (2002),3.75,3750,Sodic MP,69.29,0.43,15.74,2.8930513,0.99,0.04,3.2,4.88,1.51,0.14,,1.6289683,1.0167384,0.30942623,,,,16,,4,,,,54,490,5,179,,,,373,,,,7,,,,,15.76,2.584,,,,,,,,,,,,,,0.999,class11,0.972
,Compiled by Martin and Moyen (2002),2.7,2700,Sodic MP,65.2,0.74,17.5,3.16,1.9,0.06,5.29,4.06,1.61,,,2.0779348,0.9700542,0.39655172,,5.3,,26,23.8,,,,,54,683,,193,,,3.1,690,4.3,2.32,,10.8,1,51.4,100.3,,34.5,4.81,1.11,2.9168772,0.37,,,,,0.48,0.07,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.7,2700,Sodic MP,64.7,0.5,19.9,2.99,1.78,0.05,4.21,3.54,2.19,,,2.4285495,1.2556065,0.61864407,,7.4,,30,18.8,,,,,109,488,,129,,,5,248,3.6,2.19,,6.5,2,22.4,43.4,,14.4,2.75,0.64,2.2431354,0.33,,,,,0.7,0.11,,,,,#N/A,unclass,#N/A
